invoice_id,job_id,customer_id,customer_name,service_id,date,record_date,unit_price,quantity,amount,status,version,supersedes,effective_from,effective_to
inv_000001,job_000001,customer_0001,Brookfield Properties,svc_03,2025-08-21,2025-08-21,260.90,1,260.90,paid,1,,2025-08-21,
inv_000002,job_000002,customer_0002,Anthony Gomez,svc_01,2025-08-21,2025-08-21,161.71,1,161.71,paid,1,,2025-08-21,
inv_000003,job_000003,customer_0003,Sagebrush Properties,svc_03,2025-08-21,2025-08-21,782.69,1,782.69,paid,1,,2025-08-21,
inv_000004,job_000004,customer_0004,Delgado Family Residential,svc_01,2025-08-21,2025-08-21,485.14,1,485.14,paid,1,,2025-08-21,
inv_000005,job_000005,customer_0005,Erin Quinn,svc_02,2025-08-21,2025-08-21,645.77,1,645.77,paid,1,,2025-08-21,
inv_000006,job_000006,customer_0006,Cedar Facilities,svc_03,2025-08-21,2025-08-21,260.90,1,260.90,paid,1,,2025-08-21,
inv_000007,job_000007,customer_0007,Carlos Byrd,svc_03,2025-08-21,2025-08-21,782.69,1,782.69,paid,1,,2025-08-21,
inv_000008,job_000008,customer_0008,Cobblestone Properties,svc_02,2025-08-21,2025-08-21,215.26,1,215.26,paid,1,,2025-08-21,
inv_000009,job_000009,customer_0009,Oak Street Mechanical,svc_03,2025-08-21,2025-08-21,260.90,1,260.90,paid,1,,2025-08-21,
inv_000010,job_000010,customer_0010,Sandstone Commons,svc_03,2025-08-21,2025-08-21,260.90,1,260.90,paid,1,,2025-08-21,
inv_000011,job_000011,customer_0011,Dixon Family Management,svc_01,2025-08-21,2025-08-21,485.14,1,485.14,paid,1,,2025-08-21,
inv_000012,job_000012,customer_0012,Arrowhead Commons,svc_01,2025-08-21,2025-08-21,323.43,1,323.43,paid,1,,2025-08-21,
inv_000013,job_000013,customer_0013,Shaw Family Hospitality,svc_03,2025-08-21,2025-08-21,1043.59,1,1043.59,paid,1,,2025-08-21,
inv_000014,job_000014,customer_0014,Mill Creek Facilities,svc_03,2025-08-21,2025-08-21,782.69,1,782.69,paid,1,,2025-08-21,
inv_000015,job_000015,customer_0015,Copperleaf Hospitality,svc_01,2025-08-21,2025-08-21,485.14,1,485.14,paid,1,,2025-08-21,
inv_000016,job_000016,customer_0016,Cole Family Hospitality,svc_02,2025-08-21,2025-08-21,645.77,1,645.77,paid,1,,2025-08-21,
inv_000017,job_000017,customer_0017,Greg Jennings,svc_02,2025-08-21,2025-08-21,861.03,1,861.03,paid,1,,2025-08-21,
inv_000018,job_000018,customer_0018,Greenfield Properties,svc_01,2025-08-21,2025-08-21,646.85,1,646.85,paid,1,,2025-08-21,
inv_000019,job_000019,customer_0019,Ashford Management,svc_01,2025-08-21,2025-08-21,485.14,1,485.14,paid,1,,2025-08-21,
inv_000020,job_000020,customer_0020,Evergreen Facilities,svc_03,2025-08-21,2025-08-21,782.69,1,782.69,paid,1,,2025-08-21,
inv_000021,job_000021,customer_0021,April Byrd,svc_01,2025-08-21,2025-08-21,485.14,1,485.14,paid,1,,2025-08-21,
inv_000022,job_000022,customer_0022,Joanna Delgado,svc_01,2025-08-21,2025-08-21,161.71,1,161.71,paid,1,,2025-08-21,
inv_000023,job_000023,customer_0023,Redwood Hospitality,svc_03,2025-08-21,2025-08-21,260.90,1,260.90,paid,1,,2025-08-21,
inv_000024,job_000024,customer_0024,Felix Jennings,svc_01,2025-08-21,2025-08-21,646.85,1,646.85,paid,1,,2025-08-21,
